NAME;CODE;IP1;IP2;IP3
BOL-TRG-SDT;925670;10.191.35.209;10.191.35.210;10.191.35.211
BRELA-POŠTA-SDT;925680;10.191.33.241;10.191.33.242;10.191.33.243
TU?EPI-PLAŽA-SDT;925710;10.191.59.1;10.191.59.2;10.191.59.3
SUPETAR-TRAJEKTNA LUKA-SDT;925740;10.191.35.145;10.191.35.146;10.191.35.147
SUPETAR-VLA?ICA-SDT;925750;10.100.112.76;10.100.112.77;10.100.112.78
SUTIVAN-TRŽNICA-SDT;925770;10.191.35.193;10.191.35.194;10.191.35.195
MILNA-RIVA-SDT;925780;10.191.36.33;10.191.36.34;10.191.36.35
POSTIRA-RIVA-SDT;925790;10.191.35.241;10.191.35.242;10.191.35.243
BOL-ŠETNICA-SDT;925820;10.191.56.129;10.191.56.130;10.191.56.131
STOMORSKA-RIVA-SDT;925830;10.199.25.65;10.199.25.66;10.199.25.67
ROGA?-TRAJEKTNA LUKA-SDT;925840;10.191.57.177;10.191.57.178;10.191.57.179
GROHOTE-TRG-SDT;925850;10.199.25.73;10.199.25.74;10.199.25.75
MASLINICA-RIVA-SDT;925860;10.191.56.81;10.191.56.82;10.191.56.83
NE?UJAM-PLAŽA-SDT;925870;10.191.60.225;10.191.60.226;10.191.60.227
HVAR-RIVA-SDT;925880;10.191.34.161;10.191.34.162;10.191.34.163
HVAR-DOLAC-SDT;925890;10.191.34.177;10.191.34.178;10.191.34.179
HVAR-FABRIKA-SDT;925900;10.191.55.225;10.191.55.226;10.191.55.227
STARI GRAD-RIBARNICA-SDT;925910;10.191.34.193;10.191.34.194;10.191.34.195
JELSA-PJACA-SDT;925920;10.191.36.177;10.191.36.178;10.191.36.179
JELSA-POŠTA-SDT;925930;10.191.34.241;10.191.34.242;10.191.34.243
KOMIŽA-RIVA-SDT;925960;-;-;-
ŠIBENIK-HOTEL KRKA-SDT;925980;10.199.27.9;10.199.27.10;10.199.27.11
ŠIBENIK-POLIKLINIKA-KIOSK-SDT;926000;10.191.33.81;10.191.33.82;10.191.33.83
ŠIBENIK-KALELARGA-LOKAL-SDT;926010;10.191.33.97;10.191.33.98;10.191.33.99
ŠIBENIK-TRŽNICA III-KIOSK-SDT;926020;10.191.33.113;10.191.33.114;10.191.33.115
ŠIBENIK-BANKA JADRANSKA-SDT;926080;10.199.27.105;10.199.27.106;10.199.27.107
ŠIBENIK-KUGLANA-SDT;926110;10.199.27.153;10.199.27.154;10.199.27.155
ŠIBENIK-CITY LIFE-LOKAL-SDT;926130;10.191.33.177;10.191.33.178;10.191.33.179
PRIMOŠTEN-HOTEL ZORA-SDT;926150;10.191.57.17;10.191.57.18;10.191.57.19
ROGOZNICA-MOST-SDT;926160;10.199.27.137;10.199.27.138;10.199.27.139
VODICE-ŠETNICA-SDT;926190;10.199.27.185;10.199.27.186;10.199.27.187
